player_name,Total_Wickets_Taken,Total_Overs_Bowled,Wickets_Per_Over
HL Baker,1,82,0.012195121951219513
PW Borren,6,494,0.012145748987854251
VS Solanki,1,84,0.011904761904761904
RD Steede,1,84,0.011904761904761904
BR Dorey,2,169,0.011834319526627219
R Malhotra,1,85,0.011764705882352941
R Powell,3,256,0.01171875
JP Greaves,1,86,0.011627906976744186
J Yadav,1,86,0.011627906976744186
AK Peters,1,88,0.011363636363636364
SHT Kandamby,2,177,0.011299435028248588
Qaiser Ali,1,89,0.011235955056179775
DR Martyn,1,90,0.011111111111111112
NND de Silva,3,270,0.011111111111111112
H Carlyon,2,183,0.01092896174863388
S Nitschke,1,93,0.010752688172043012
Aarif Sheikh,8,762,0.010498687664041995
V Kohli,7,671,0.010432190760059613
O Bell,3,288,0.010416666666666666
Sabbir Rahman,3,289,0.010380622837370242
CS MacLeod,8,774,0.0103359173126615
Shaila Sharmin,1,97,0.010309278350515464
D Devnarain,1,97,0.010309278350515464
F du Plessis,2,197,0.01015228426395939
N Deonarine,4,399,0.010025062656641603
TJG Pringle,2,200,0.01
Aftab Ahmed,4,411,0.009732360097323601
JL Denly,1,104,0.009615384615384616
Hasibul Hossain,1,107,0.009345794392523364
BB Seebaran,1,108,0.009259259259259259
MJ Humphreys,1,109,0.009174311926605505
N M'shangwe,2,219,0.0091324200913242
SP de Alwis,1,110,0.00909090909090909
Raza-ur-Rehman,1,113,0.008849557522123894
PRCS Kumarihami,3,347,0.008645533141210375
RN Bhatia,3,348,0.008620689655172414
KH Pandya,2,234,0.008547008547008548
N Dutta,2,236,0.00847457627118644
M Levitt,1,120,0.008333333333333333
Waheed Ahmed,1,125,0.008
MP O'Dowd,1,127,0.007874015748031496
PRP Boissevain,1,133,0.007518796992481203
Fakhar Zaman,1,135,0.007407407407407408
CK Kapugedera,2,271,0.007380073800738007
SACA King,2,286,0.006993006993006993
Mosharraf Hossain,1,153,0.006535947712418301
DE Budge,1,153,0.006535947712418301
A Bosch,1,159,0.006289308176100629
LMP Simmons,1,163,0.006134969325153374
MW Short,1,167,0.005988023952095809
KJ Coetzer,1,169,0.005917159763313609
Shahid Ahmadzai,1,169,0.005917159763313609
Yasir Arafat,2,355,0.005633802816901409
PJC Hoffmann,1,196,0.00510204081632653
TCB Fernando,1,220,0.004545454545454545
Younis Khan,1,222,0.0045045045045045045
SR Thadani,0,19,0.0
MJ North,0,18,0.0
Shathira Jakir,0,19,0.0
GA Guy,0,19,0.0
SK Naidu,0,18,0.0
Kyshona A Knight,0,26,0.0
WA Agar,0,70,0.0
M Shumba,0,29,0.0
Fayyaz Ahmed,0,102,0.0
MDT Kamini,0,31,0.0
AK Perera,0,36,0.0
Ayesha Zafar,0,27,0.0
XM Marshall,0,4,0.0
Asif Ali,0,5,0.0
K Thomson,0,21,0.0
Asad Shafiq,0,12,0.0
Mehran Khan,0,61,0.0
GM Strydom,0,30,0.0
Tilak Varma,0,42,0.0
DR Mousley,0,13,0.0
M Mangru,0,18,0.0
JA Whelan,0,15,0.0
CK Holder,0,20,0.0
AL Watkins,0,13,0.0
DL Blake,0,6,0.0
Fazle Mahmud,0,20,0.0
PHT Kaushal,0,36,0.0
HE Whelan,0,42,0.0
GJ McCarter,0,48,0.0
Tamim Iqbal,0,7,0.0
MT Herbert,0,18,0.0
Sufyan Mehmood,0,9,0.0
A Munisar,0,7,0.0
Pankaj Singh,0,44,0.0
Steven Ryan Taylor,0,21,0.0
D Khanal,0,18,0.0
SA Engelbrecht,0,12,0.0
I Kaia,0,28,0.0
T Gwandu,0,24,0.0
LJ Hamilton,0,52,0.0
A Shamshudeen,0,18,0.0
D Lakshan,0,12,0.0
Hussain Talat,0,13,0.0
Muhammad Farooq,0,81,0.0
Tanbir Hayder,0,60,0.0
MJ Fourie,0,81,0.0
Talha Jubair,0,77,0.0
GH Worker,0,6,0.0
Hannan Sarkar,0,3,0.0
S Chattergoon,0,42,0.0
C Brits,0,9,0.0
ADS Fletcher,0,28,0.0
NS Dhaliwal,0,6,0.0
D la Cock,0,12,0.0
MR Meshram,0,86,0.0
M Terblanche,0,12,0.0
Utkarsh Srivastava,0,24,0.0
SP Krishnamurthi,0,36,0.0
MJ Cosgrove,0,24,0.0
J Charles,0,7,0.0
AN Petersen,0,9,0.0
A Johnson,0,24,0.0
T Bavuma,0,37,0.0
TP Ura,0,6,0.0
Nahida Khan,0,12,0.0
RS Morton,0,6,0.0
Sandeep Goud,0,91,0.0
DD Ebrahim,0,2,0.0
Babar Hayat,0,6,0.0
Yousuf Youhana,0,1,0.0
CKB Kulasekara,0,79,0.0
KED Carroll,0,6,0.0
MF Kendal,0,21,0.0
J Louw,0,44,0.0
RW Sims,0,18,0.0
Natalia Pervaiz,0,18,0.0
MNK Fernando,0,12,0.0
KDK Vithanage,0,12,0.0
Umar Amin,0,42,0.0
MA Carberry,0,6,0.0
CN Nation,0,6,0.0
Rameez Shahzad,0,34,0.0
SJ Modani,0,12,0.0
RV Uthappa,0,2,0.0
DS Smith,0,18,0.0
Skhawat Ali,0,49,0.0
I Maraj,0,27,0.0
CP Jack,0,24,0.0
SJ Andrews,0,24,0.0
Sanjida Islam,0,8,0.0
AL Kandappah,0,1,0.0
T Munyonga,0,6,0.0
SK Atai,0,48,0.0
TC Bastiampillai,0,6,0.0
C Hemraj,0,7,0.0
Sarfraz Ahmed,0,12,0.0
Shubman Gill,0,18,0.0
VR Iyer,0,30,0.0
Shamim Hossain,0,6,0.0
BP Nash,0,30,0.0
Jamaluddin Ahmed,0,24,0.0
Sultan Ahmed,0,72,0.0
J Blackwood,0,18,0.0
DI Allan,0,18,0.0
ML Green,0,79,0.0
Waseem Muhammad,0,75,0.0
Waqas Barkat,0,12,0.0
LJ Poulton,0,13,0.0
BJ Bennett,0,12,0.0
Shuvagata Hom,0,12,0.0
Shamsur Rahman,0,6,0.0
FDM Karunaratne,0,16,0.0
BJ Patel,0,18,0.0
J Anderson,0,30,0.0
K Weeraratne,0,96,0.0
O Davidson,0,54,0.0
MC Patel,0,82,0.0
AM McCarthy,0,12,0.0
G Chapple,0,24,0.0
H Klaasen,0,30,0.0
Salman Butt,0,72,0.0
N Ifill,0,79,0.0
MM Iqbal,0,36,0.0
HM Watson,0,43,0.0
SS Iyer,0,39,0.0
Musa Ahmed,0,6,0.0
N Chaiwai,0,12,0.0
Towhid Hridoy,0,1,0.0
KH Prajapati,0,2,0.0
SV Bahutule,0,19,0.0
TW Hartley,0,60,0.0
H Shah,0,60,0.0
AM Tribe,0,13,0.0
HMD Rasangika,0,12,0.0
KU Carty,0,27,0.0
CNIM Joyce,0,19,0.0
S Mostary,0,44,0.0
T Stubbs,0,12,0.0
W Barresi,0,6,0.0
SA Yadav,0,12,0.0
CA Ingram,0,6,0.0
AG Prince,0,12,0.0
JD Campbell,0,6,0.0
J Glasgow,0,12,0.0
N Rana,0,18,0.0
DG Blampied,0,79,0.0
PY Lavine,0,12,0.0
RO Hinds,0,68,0.0
SB Bangar,0,68,0.0
BP Kruger,0,21,0.0
ADJ Pitcher,0,38,0.0
L Wood,0,61,0.0
Mrittunjoy Chowdhury,0,51,0.0
Rashid Zia,0,59,0.0
Mohammad Mithun,0,13,0.0
B Sharki,0,6,0.0
DJM Short,0,90,0.0
AT Nidamanuru,0,6,0.0
H Madavi,0,25,0.0
Mohammad Boota,0,12,0.0
S Forbes,0,15,0.0
B Sai Sudharsan,0,4,0.0
T Taibu,0,25,0.0
KNA Bandara,0,6,0.0
DA Warner,0,6,0.0
BOP Fernando,0,12,0.0
C Zhuwao,0,19,0.0
G Gambhir,0,8,0.0
LRPL Taylor,0,45,0.0
Tharika Sewwandi,0,13,0.0
Misbah-ul-Haq,0,24,0.0
Omid Shafi Rahman,0,80,0.0
BKG Mendis,0,20,0.0
S Chanderpaul,0,26,0.0
AJ Strauss,0,6,0.0
KC Sangakkara,0,0,
HM Amla,0,0,
Mushfiqur Rahim,0,0,
RT Ponting,0,0,
EJG Morgan,0,0,
S Dhawan,0,0,
Q de Kock,0,0,
WU Tharanga,0,0,
Babar Azam,0,0,
BB McCullum,0,0,
JC Buttler,0,0,
SD Hope,0,0,
DA Miller,0,0,
AC Gilchrist,0,0,
JJ Roy,0,0,
TWM Latham,0,0,
L Wolvaardt,0,0,
ML Hayden,0,0,
TT Beaumont,0,0,
HH Gibbs,0,0,
JM Bairstow,0,0,
LD Chandimal,0,0,
R Dravid,0,0,
AN Cook,0,0,
MDKJ Perera,0,0,
Umar Akmal,0,0,
GJ Bailey,0,0,
DM Bravo,0,0,
BJ Haddin,0,0,
M Raj,0,0,
AM Rahane,0,0,
Imam-ul-Haq,0,0,
CR Ervine,0,0,
KL Rahul,0,0,
AJ Healy,0,0,
Kamran Akmal,0,0,
WTS Porterfield,0,0,
SE Marsh,0,0,
MV Boucher,0,0,
BL Mooney,0,0,
AD Hales,0,0,
Mohammad Rizwan,0,0,
Imrul Kayes,0,0,
Liton Das,0,0,
SP Fleming,0,0,
HM Nicholls,0,0,
D Ramdin,0,0,
AE Jones,0,0,
AT Carey,0,0,
MS Atapattu,0,0,
Inzamam-ul-Haq,0,0,
E Lewis,0,0,
BC Lara,0,0,
EC Joyce,0,0,
V Aravind,0,0,
P Nissanka,0,0,
MS Wade,0,0,
MD Patel,0,0,
NJ O'Brien,0,0,
HG Munsey,0,0,
MH Cross,0,0,
SJ Taylor,0,0,
KD Karthik,0,0,
N Dickwella,0,0,
Sidra Ameen,0,0,
UT Khawaja,0,0,
SA Edwards,0,0,
Yasir Hameed,0,0,
PG Raut,0,0,
WA Young,0,0,
Aasif Sheikh,0,0,
Nasir Jamshed,0,0,
T Chetty,0,0,
SO Hetmyer,0,0,
WIA Fernando,0,0,
L Ronchi,0,0,
Anamul Haque,0,0,
M Kaif,0,0,
BA King,0,0,
HH Dippenaar,0,0,
Fargana Hoque,0,0,
GC Wilson,0,0,
MJ Prior,0,0,
DP Conway,0,0,
PG Fulton,0,0,
Shahriar Nafees,0,0,
Raqibul Hasan,0,0,
KJ Martin,0,0,
Asif Khan,0,0,
RW Chakabva,0,0,
S Samarawickrama,0,0,
SM Katich,0,0,
C Kieswetter,0,0,
JN Malan,0,0,
AJ Blackwell,0,0,
Muneeba Ali,0,0,
JM How,0,0,
KOA Powell,0,0,
Nigar Sultana,0,0,
Habibul Bashar,0,0,
Chirag Suri,0,0,
NT Broom,0,0,
P Litchfield,0,0,
Muhammad Usman,0,0,
Ishan Kishan,0,0,
JWA Taylor,0,0,
RR Pant,0,0,
PD Salt,0,0,
TD Paine,0,0,
SSJ Brooks,0,0,
VVS Laxman,0,0,
PJ Hughes,0,0,
JA Rudolph,0,0,
L Goodall,0,0,
Sharjeel Khan,0,0,
T Brits,0,0,
A Steyn,0,0,
A Hunter,0,0,
MG Bevan,0,0,
LS Greenway,0,0,
GO Jones,0,0,
SR Mukkamalla,0,0,
BM Duckett,0,0,
Kycia A Knight,0,0,
PA Patel,0,0,
RM Ghosh,0,0,
SW Billings,0,0,
ZE Green,0,0,
MS Chapman,0,0,
GWHM Perera,0,0,
YH Bhatia,0,0,
CJ Ferguson,0,0,
RH Priest,0,0,
HJH Marshall,0,0,
L Tucker,0,0,
HC Brook,0,0,
CK Coventry,0,0,
Sharmin Akhter,0,0,
MADD Surangika,0,0,
PM Weerakkody,0,0,
PSP Handscomb,0,0,
KT Perkins,0,0,
A Bagai,0,0,
Khaled Mashud,0,0,
PL Mommsen,0,0,
FH Allen,0,0,
BJ Watling,0,0,
L Winfield,0,0,
MK Pandey,0,0,
Abdullah Shafique,0,0,
L Louwrens,0,0,
Imran Nazir,0,0,
JP Inglis,0,0,
Nain Abidi,0,0,
PJ Moor,0,0,
K Doriga,0,0,
MA Vermeulen,0,0,
CD Wallace,0,0,
SV Samson,0,0,
Shayan Jahangir,0,0,
AA Obanda,0,0,
LR Down,0,0,
ME Bouchier,0,0,
RS Williams,0,0,
K Verreynne,0,0,
SW Ambris,0,0,
N Chantam,0,0,
MA Ouma,0,0,
Javed Omar,0,0,
GS Ballance,0,0,
JE Cameron,0,0,
Ghulam Shabber,0,0,
Murshida Khatun,0,0,
MN van Wyk,0,0,
FC Wilson,0,0,
RD Shah,0,0,
RMVD Gunaratne,0,0,
T Mishra,0,0,
MAA Sanjeewani,0,0,
AB Barath,0,0,
Suraj Kumar,0,0,
MA Jones,0,0,
CS Baugh,0,0,
T de Zorzi,0,0,
J Gumbie,0,0,
M Mupachikwa,0,0,
PJ Forrest,0,0,
MS Sinclair,0,0,
Tanzid Hasan,0,0,
CB Wishart,0,0,
DG Brownlie,0,0,
Naseem Khushi,0,0,
MDN Hansika,0,0,
SJ Myburgh,0,0,
NV Knight,0,0,
B Cooper,0,0,
Rashid Latif,0,0,
A Flower,0,0,
HP Tillakaratne,0,0,
KA Edwards,0,0,
Adnan Mufti,0,0,
SJ Baard,0,0,
Sidra Nawaz,0,0,
S Movva,0,0,
MR Aguilleira,0,0,
DA Gunawardene,0,0,
AK Sah,0,0,
R Mutumbami,0,0,
JP Kotze,0,0,
Shamima Sultana,0,0,
DO Obuya,0,0,
LE Bosman,0,0,
PA Nixon,0,0,
L Winfield-Hill,0,0,
MV Waldron,0,0,
B de Leede,0,0,
AJ Stewart,0,0,
ES Szwarczynski,0,0,
CS Mugeri-Tiripano,0,0,
SK Patel,0,0,
Moin Khan,0,0,
PS Punia,0,0,
TA Blundell,0,0,
B Bezuidenhout,0,0,
B Bhandari,0,0,
M Musonda,0,0,
Sadaf Shamas,0,0,
Taufeeq Umar,0,0,
R Chopra,0,0,
A Sharafu,0,0,
GE Plimmer,0,0,
R Gunasekera,0,0,
C Madande,0,0,
KO Otieno,0,0,
Amjad Ali,0,0,
R Stokell,0,0,
SM Davies,0,0,
ML Udawatte,0,0,
C Tear,0,0,
D Dhingra,0,0,
GJ Hopkins,0,0,
Abid Ali,0,0,
JP Bray,0,0,
NFI McCallum,0,0,
NY McLean,0,0,
TM Dowlin,0,0,
Jahurul Islam,0,0,
T Duffin,0,0,
BR McDermott,0,0,
IS Billcliff,0,0,
P Mustard,0,0,
DR Chumney,0,0,
JM Fields,0,0,
T Marumani,0,0,
TK Musakanda,0,0,
NRJ Croes,0,0,
Khurram Manzoor,0,0,
HS Modi,0,0,
S Sriharsha,0,0,
Z Crawley,0,0,
Saleem Elahi,0,0,
IA Karim,0,0,
PJ Ingram,0,0,
SA Wijeratne,0,0,
PP Shaw,0,0,
A Saud,0,0,
RD Rickelton,0,0,
G Kirsten,0,0,
BB Chari,0,0,
F Mutizwa,0,0,
ND McKenzie,0,0,
CMA Shillington,0,0,
DM Richards,0,0,
JA McCollum,0,0,
B Zuiderent,0,0,
JAD Lawrenson,0,0,
IC Gaze,0,0,
G Voll,0,0,
GM Hamilton,0,0,
SJ Bryce,0,0,
Najiha Alvi,0,0,
TSS Mackintosh,0,0,
Nurul Hasan,0,0,
MJ Lumb,0,0,
ST Doheny,0,0,
Shan Masood,0,0,
Y Venugopal Rao,0,0,
FRJ Coleman,0,0,
SJ McGlashan,0,0,
Akshay Homraj,0,0,
AGS Gous,0,0,
CJO Smith,0,0,
T Kaitano,0,0,
CMW Read,0,0,
SRH Curtis,0,0,
A Kolan,0,0,
MB Kruger,0,0,
A Rawat,0,0,
SP Patil,0,0,
AJ Redmond,0,0,
D Ganga,0,0,
AA Mulla,0,0,
BN Cooper,0,0,
Khalid Latif,0,0,
Nazimuddin,0,0,
BYA Mendis,0,0,
JA Burns,0,0,
K Zondo,0,0,
NC Dodd,0,0,
CO Browne,0,0,
S Jafta,0,0,
MB Loye,0,0,
HJW Gardiner,0,0,
RD Jacobs,0,0,
VV Morea,0,0,
KJJ van Noortwijk,0,0,
TS Hasabnis,0,0,
M Bhanuka,0,0,
CT Dhururu,0,0,
ARI Umeed,0,0,
D Myers,0,0,
KA Hope,0,0,
T Bhatia,0,0,
N Vare,0,0,
CR Pagydyala,0,0,
S Verma,0,0,
T Banton,0,0,
PA Browne,0,0,
Faisal Iqbal,0,0,
JL Smith,0,0,
D Keulder,0,0,
TS Kamunhukamwe,0,0,
D Bau,0,0,
DF Watts,0,0,
Nafees Iqbal,0,0,
N Hussain,0,0,
ZE Surkari,0,0,
CE Coulter Reilly,0,0,
AR Odedara,0,0,
RS Kaluwitharana,0,0,
Dhiman Ghosh,0,0,
PA Jaques,0,0,
Usman Limbada,0,0,
B Tau,0,0,
JP Maher,0,0,
Ayasha Rahman,0,0,
AL Hodgkinson,0,0,
N Koncharoenkai,0,0,
JW Jenner,0,0,
J Edness,0,0,
Khalid Kail,0,0,
CMG Atkins,0,0,
RD Gaikwad,0,0,
S Meghana,0,0,
Jaker Ali,0,0,
L Jack,0,0,
DP Hyatt,0,0,
C Carter,0,0,
AN Kervezee,0,0,
SV Carlisle,0,0,
R Murray,0,0,
A Maregwede,0,0,
KNM Fernando,0,0,
MM English,0,0,
BA Parchment,0,0,
SR Hain,0,0,
A Minny,0,0,
SL Kalis,0,0,
HDJ Siegers,0,0,
AA Jangoo,0,0,
DA Minors,0,0,
KV Jain,0,0,
PS Athavale,0,0,
Yasir Ali Chowdhury,0,0,
Shahzaib Hasan,0,0,
R Kanoh,0,0,
CJ Bowes,0,0,
Hamza Tariq,0,0,
RA Jones,0,0,
GEF Barnett,0,0,
JV Harris,0,0,
GB Murgatroyd,0,0,
PBB Rajapaksa,0,0,
N Davin,0,0,
SE Findlay,0,0,
J Fraser-McGurk,0,0,
P Mujaji,0,0,
FL Reifer,0,0,
JJ Atkinson,0,0,
CJ Nevin,0,0,
GC Bhogle,0,0,
A Lister,0,0,
M McColl,0,0,
Rabiya Shah,0,0,
M Spoors,0,0,
E Claridge,0,0,
S Badrinath,0,0,
HJ Armitage,0,0,
T Suri,0,0,
Sami Aslam,0,0,
SP Khakurel,0,0,
SC Taylor,0,0,
Ravinderpal Singh,0,0,
SC Joseph,0,0,
CA Lynn,0,0,
SW Poynter,0,0,
N Gwanzura,0,0,
U Raymond-Hoey,0,0,
DS Weerakkody,0,0,
SS McKechnie,0,0,
TP Visee,0,0,
J Smits,0,0,
K Frank,0,0,
TN de Grooth,0,0,
Sana Javed,0,0,
SR Waters,0,0,
Sharmin Sultana,0,0,
JR Philippe,0,0,
AD Poynter,0,0,
Batool Fatima,0,0,
PD McGlashan,0,0,
Adnan Akmal,0,0,
J Gray,0,0,
BT Foakes,0,0,
Shahid Wasif,0,0,
PJ Scholfield,0,0,
BAM Heath,0,0,
MJ Hay,0,0,
Abdul Jabbar,0,0,
Mohammad Naim,0,0,
Hammad Mirza,0,0,
M van Schoor,0,0,
TMK Mawoyo,0,0,
Tayyab Tahir,0,0,
L Sreekumar,0,0,
Akram Khan,0,0,
S Jora,0,0,
Zubayr Hamza,0,0,
FY Fazal,0,0,
J Figy John,0,0,
DES Maxwell,0,0,
CAK Walton,0,0,
AR Berenger,0,0,
Waqas Khan,0,0,
IR James,0,0,
CA Pujara,0,0,
VR Vanitha,0,0,
MJ Bulow,0,0,
EL Watson,0,0,
SS Tiwary,0,0,
TB Robinson,0,0,
Zulqarnain Haider,0,0,
Irfan Khan,0,0,
Tasqeen Qadeer,0,0,
KK Nair,0,0,
OV Anderson,0,0,
M Karg,0,0,
TV Mufambisi,0,0,
M De Ridder,0,0,
Tabarak Dar,0,0,
Al Sahariar,0,0,
SJ Swanepoel,0,0,
Haider Ali,0,0,
CD Cumming,0,0,
WP Saha,0,0,
KY Ottley,0,0,
Aaditya Varadarajan,0,0,
JO Troughton,0,0,
RWT Key,0,0,
NA Greenwood,0,0,
JNT Vare,0,0,
C McAuslan,0,0,
J van Vliet,0,0,
Abdul Shakoor,0,0,
LDVV Silva,0,0,
RP Alexander,0,0,
TL Seifert,0,0,
Ayesha Naseem,0,0,
HM Tiffen,0,0,
A Aitken-Drummond,0,0,
Mohammad Iqbal,0,0,
PARP Perera,0,0,
JAH Marshall,0,0,
D Cleaver,0,0,
MHW Papps,0,0,
AA Deshpande,0,0,
C Jonker,0,0,
JB Nero,0,0,
D Daesrath,0,0,
Mohammad Haris,0,0,
Saqlain Haider,0,0,
RM Jariwala,0,0,
AR Pitcher,0,0,
SM Warnapura,0,0,
B Leephatthana,0,0,
R Boyce,0,0,
DI Joyce,0,0,
JJ Celestine,0,0,
OL Pitcher,0,0,
CJ Smith,0,0,
AF Buurman,0,0,
Khurram Nawaz,0,0,
M Faisal,0,0,
SL Stewart,0,0,
S Naik,0,0,
CH van Koolwijk,0,0,
LK Ebsary,0,0,
Y van der Westhuizen,0,0,
SJ Massiah,0,0,
RD McCann,0,0,
RM Patidar,0,0,
Mohammad Salman,0,0,
JM Cox,0,0,
EC Perry,0,0,
LR Naylor,0,0,
MR Johnson,0,0,
HGV Vare,0,0,
JA Simpson,0,0,
L Rajadurai,0,0,
AF Sattaur,0,0,
S Jyoti,0,0,
LR Johnson,0,0,
S Khiaoto,0,0,
CC Dalton,0,0,
K Whatham,0,0,
SDNS Karunaratne,0,0,
J Sharma,0,0,
OO Bascome,0,0,
SP Terry,0,0,
Ankur Sharma,0,0,
JH Desai,0,0,
Nuzhat Tasnia,0,0,
F Walters,0,0,
F Tunnicliffe,0,0,
EMDY Munaweera,0,0,
I Dulani,0,0,
RM van Oosterom,0,0,
J Post,0,0,
HD Rutherford,0,0,
ML Patel,0,0,
A Valthapa,0,0,
J Da Silva,0,0,
MD du Preez,0,0,
IPP Batuwitarachchi,0,0,
NK Crafton,0,0,
Usman Salahuddin,0,0,
AA Shafique,0,0,
HIS Mendis,0,0,
GI Maiden,0,0,
S Daniel,0,0,
S Dhamala,0,0,
NS Poonia,0,0,
Saad Ali,0,0,
RS Vandort,0,0,
JW Ogle-Thomas,0,0,
Ansh Tandon,0,0,
RO Hussain,0,0,
W Jaffer,0,0,
TR Ambrose,0,0,
VB van Jaarsveld,0,0,
Ethan D'Souza,0,0,
F Kasteni,0,0,
Lovepreet Singh,0,0,
D Murphy,0,0,
Faisal Athar,0,0,
SJ Elliott,0,0,
Dilara Akter,0,0,
NJ Coffey,0,0,
H Davids,0,0,
KH Butt,0,0,
RH Scholte,0,0,
GA Manou,0,0,
Shawaal Zulfiqar,0,0,
Naved Latif,0,0,
V Shetty,0,0,
Zeeshan Siddiqi,0,0,
NA Rock,0,0,
ADR Campbell,0,0,
D Prins,0,0,
NA Statham,0,0,
CR Foggo,0,0,
SO Dowrich,0,0,
M Commins,0,0,
JE Dunford,0,0,
MQ Sheikh,0,0,
Naumanullah,0,0,
RT Crandon,0,0,
NA Moodley,0,0,
Aijaz Ali,0,0,
N Fernandes,0,0,
JN Hamilton,0,0,
N Kruger,0,0,
Kaynat Hafeez,0,0,
HAPW Jayawardene,0,0,
SD Heazlett,0,0,
Rony Talukdar,0,0,
MWA van Nierop,0,0,
VAB Tewarie,0,0,
A le Breton,0,0,
DOD Rikhi,0,0,
KA Blackwell,0,0,
HML Madushani,0,0,
Sagar Pun,0,0,
CK Kruger,0,0,
RJ Rolls,0,0,
JN Rhodes,0,0,
U Thimashini,0,0,
JNK Shannon,0,0,
Fahad Nawaz,0,0,
PG Gillespie,0,0,
KL Rolton,0,0,
J Pashley,0,0,
Nasir Javed,0,0,
HWR Cartwright,0,0,
Alawi Shukri,0,0,
Zakir Hasan,0,0,
RR Ramdass,0,0,
NV Ojha,0,0,
Jannatul Ferdus,0,0,
CM Beggs,0,0,
Moniruzzaman,0,0,
RA Rolfe,0,0,
D Foxcroft,0,0,
R Walters,0,0,
TJ Bishop,0,0,
AG Puttick,0,0,
VCE Wattenberg,0,0,
LM Hoitink,0,0,
MF Fahey,0,0,
SI Galagedara,0,0,
APS Lakshika,0,0,
Melanie Ani,0,0,
A Chopra,0,0,
JC Carroll,0,0,
Sumaiya Akter,0,0,
KL Tucker,0,0,
Pooja Ganesh,0,0,
S Lackay,0,0,
Simandeep Singh,0,0,
Sultana Yesmin,0,0,
Shahriar Hossain,0,0,
Salman Faris,0,0,
Haseebullah Khan,0,0,
Syeda Aroob Shah,0,0,
